2025-05-02 09:31:26 Thread: [ReadAndMovePool-thread-1] (ID: 36) INFO - File(s) has/have been moved; Remaining unclassified images: 41
2025-05-02 09:31:26 Thread: [ReadAndMovePool-thread-2] (ID: 37) INFO - File(s) has/have been moved; Remaining unclassified images: 41
2025-05-02 09:31:51 Thread: [ReadAndMovePool-thread-1] (ID: 38) INFO - File(s) has/have been moved; Remaining unclassified images: 40
2025-05-02 20:45:01 Thread: [ReadAndMovePool-thread-2] (ID: 40) INFO - File(s) has/have been moved; Remaining unclassified images: 38
2025-05-02 20:45:01 Thread: [ReadAndMovePool-thread-1] (ID: 39) INFO - File(s) has/have been moved; Remaining unclassified images: 38
2025-05-02 20:50:23 Thread: [ReadAndMovePool-thread-1] (ID: 41) INFO - File(s) has/have been moved; Remaining unclassified images: 37
2025-05-02 20:51:37 Thread: [ReadAndMovePool-thread-2] (ID: 66) INFO - File(s) has/have been moved; Remaining unclassified images: 37
2025-05-02 20:51:37 Thread: [ReadAndMovePool-thread-1] (ID: 65) INFO - File(s) has/have been moved; Remaining unclassified images: 37
2025-05-02 21:01:54 Thread: [Thread-0] (ID: 34) INFO - New files added: 123455642_p1.jpg; Remaining unclassified images: 38
2025-05-02 21:01:54 Thread: [Thread-0] (ID: 34) INFO - New files added: 123455642_p2.jpg; Remaining unclassified images: 40
2025-05-02 21:01:54 Thread: [Thread-0] (ID: 34) INFO - New files added: 123455642_p0.jpg; Remaining unclassified images: 40
2025-05-02 21:02:22 Thread: [ReadAndMovePool-thread-1] (ID: 70) INFO - File(s) has/have been moved; Remaining unclassified images: 40
2025-05-02 21:02:48 Thread: [ReadAndMovePool-thread-3] (ID: 73) INFO - File(s) has/have been moved; Remaining unclassified images: 37
2025-05-02 21:02:48 Thread: [ReadAndMovePool-thread-1] (ID: 71) INFO - File(s) has/have been moved; Remaining unclassified images: 37
2025-05-02 21:02:48 Thread: [ReadAndMovePool-thread-2] (ID: 72) INFO - File(s) has/have been moved; Remaining unclassified images: 37
2025-05-03 02:05:50 Thread: [Thread-0] (ID: 34) INFO - New files added: GS5M-mAasAMKd5c.jpg; Remaining unclassified images: 38
2025-05-03 02:05:52 Thread: [Thread-0] (ID: 34) INFO - New files added: httpsx.comSuperSugar1003status1814472721373253946photo1.jpg; Remaining unclassified images: 38
2025-05-03 20:08:51 Thread: [Thread-0] (ID: 34) INFO - New files added: httpsx.comSuperSugar1003status1676468409733902336photo1.jpg; Remaining unclassified images: 39
2025-05-03 20:08:51 Thread: [Thread-0] (ID: 34) INFO - New files added: httpsx.comSuperSugar1003status1817460626446483536photo1.jpg; Remaining unclassified images: 40
2025-05-04 00:56:52 Thread: [Thread-0] (ID: 34) INFO - New files added: httpsx.com0721KaiKinSyoustatus1918228983688380589photo1.jpg; Remaining unclassified images: 38
2025-05-04 00:56:52 Thread: [Thread-0] (ID: 34) INFO - New files added: httpsx.comnagomi_nakastatus1882346245441954302photo1.jpg; Remaining unclassified images: 39
